Sample
D13004D15
D13004D384
D13004D46
D13004D7
D13004PRE
D17010D15
D17010D2
D17010D22
D17010D31
D17010D398
D17010D64
D17010D8
D17010PRE
D18423D109
D18423D13
D18423D180
D18423D19
D18423D28
D18423D354
D18423D5 
D18423D92
D18423PRE
D18594D5 
D18594PRE
D19688D14
D19688D180
D19688D20
D19688D29
D19688D364
D19688D5
D19688D63
D19688D96
D19688PRE
D19754D-1
D19754D110
D19754D12
D19754D171
D19754D19
D19754D26 
D19754D384
D19754D55
D19754D8
D19754D-9
D19836D0
D19836D13
D19836D189
D19836D21
D19836D29
D19836D365
D19836D56
D19836D92
D19836PRE
D19840D106
D19840D12
D19840D15
D19840D19
D19840D196
D19840D368
D19840D6
D19840D63
D19840D767
D19840PRE
D20117D108
D20117D12
D20117D196
D20117D20
D20117D267
D20117D29
D20117D357
D20117D4 
D20117D44
D20117D537
D20117D743
D20117D76
D20117PRE
D20215D0
D20215D16
D20215D177
D20215D22
D20215D28
D20215D37
D20215D70
D20215D91
D20215PRE
D20231D1
D20231D14
D20231D188
D20231D21
D20231D29
D20231D69
D20231D90
D20231PRE
D20236D0
D20236D14
D20236D169
D20236D27
D20236D34
D20236D43
D20236D56
D20236D68
D20236D8
D20236D99
D20236PRE
D20248D1
D20248D14
D20248D194
D20248D21
D20248D28
D20248D54
D20248D8
D20248PRE
D20622D-1
D20622PRE
D20653D103
D20653D29
D20653D7
D20653PRE
D20726PRE
D20784PRE
D20923PRE
D21044PRE
D21276D-2
D21276D57
D21276PRE
D21281PRE
D21309PRE
D21376D95
D21376PRE
D21590PRE
D21593PRE
D21630D57
D21630PRE
D21685PRE
D21752PRE
D21754PRE
D20622D11
D20622D14
D20622D167
D20622D20
D20622D25
D20622D276
D20622D28
D20622D32
D20622D64
D20622D7 
D20622D90
D20726D0
D20726D174
D20726D28
D20726D366
D20726D62
D20726D97
D20784D113
D20784D171
D20784D24
D20784D61
D20784D7
D20784D89
D20923D15
D20923D22
D20923D8
D20923D98
D21044D10
D21044D102
D21044D20
D21044D27
D21044D60
D21276D13
D21276D183
D21276D30
D21276D5
D21276D89
D21281D2
D21281D49
D21309D0
D21309D10 
D21309D15
D21309D181
D21309D22
D21309D29
D21309D365
D21309D58
D21309D98
D21376D20
D21376D358
D21376D50
D21376D6
D21590D19
D21590D6
D21590D97
D21593D-3
D21593D7
D21630D15
D21630D28
D21630D35
D21630D8
D21630D96
D21685D0
D21685D15
D21685D22
D21685D30
D21685D58
D21685D7
D21685NPE
D21752D14
D21754D12
D21754D20
D21754D26
D21754D54
D21754D8
