"","ciprofloxacin","amoxicillin-clavulanate","metronidazole","ceftriaxone","vancomycin","cefepime","azithromycin","trimethoprim-sulfamethoxazole","penicillin","levofloxcacin","dapsone","amoxicillin","cefdinir","piperacillin-tazobactam","ceftazidime","cefuroxime","cephalexin","pentamidine","doxycycline","meropenem","daptomycin","cefazolin","aztreonam"
"Enterococcus raffinosus",0.00768418407722629,0.901485541658106,0.694737959755739,0.919455046660103,0.0137823687740321,0.112797247238508,NA,0.370592784560818,0.277409843910384,0.640157530902552,0.00304156379761905,NA,NA,0.877796272873753,0.0110986568697515,0.0403522424944692,0.6110901435726,NA,0.0027734505387337,0.753652924141264,0.918155887493791,NA,NA
"Bifidobacterium catenulatum",0.8072565792794,0.840105364462726,0.276529721512689,0.185601027742616,4.55053113561991e-05,4.93511854056107e-05,NA,0.839827888201123,0.493751775291859,0.928998449989617,0.544776717094414,NA,NA,0.179745788030169,0.267493381422922,0.121458356416548,1.84867120367028e-06,NA,0.482820951006276,0.831083055928386,0.189529905689241,NA,NA
"Christensenella minuta",0.292444322926322,0.22257353407467,0.368226898445905,0.094553247659061,0.00732945473839413,0.00232292986741643,NA,0.318878051450582,0.253697230742526,0.35939482549767,0.39522986849654,NA,NA,0.335843323003482,0.102429216168502,0.185062790175558,0.554718026041725,NA,0.225269984839878,0.113688919415485,0.149491400387484,NA,NA
"Butyrivibrio hungatei",0.680605055911184,0.371795574830356,0.1110488316804,0.0596202617141379,1.60208519268094e-08,7.31788628431271e-08,NA,0.174265566404054,0.189089578019412,0.733566739611691,0.608163419710989,NA,NA,0.00896769087587015,0.184351434602683,0.222757690091145,0.62963996832195,NA,0.547307679481817,0.358426348075362,0.0312717279626976,NA,NA
"Oscillospiraceae bacterium",0.399997692877035,0.304561981638226,0.034198136415653,0.0808616838283212,4.59663776271583e-08,3.86538969447777e-06,NA,0.125396514829175,0.0232954334761033,0.42849956205306,0.436051718195925,NA,NA,0.00908364457066877,0.0393640263356928,0.221742382177779,0.255202062571244,NA,0.39783975401496,0.766106477756808,0.0369911132467696,NA,NA
"Streptococcus infantis",0.290440010806459,0.69891672934839,0.523242678019298,0.948052144253485,0.247826467767711,0.166082643665025,NA,0.0579606258551197,0.113768749649906,0.172432293047507,0.395949143243396,NA,NA,0.278153296570692,0.0190565700483574,0.213055680025514,0.154772065111646,NA,0.484979620515611,0.247320988556044,0.843906283947065,NA,NA
"Lactiplantibacillus plantarum",0.616865752280016,0.2653200027703,0.979538848891573,0.103562609309566,0.438359674309656,0.649821950034431,NA,0.208758942706395,0.00648537052440004,0.83744970981439,0.999781135806209,NA,NA,0.91521445412272,0.669188929598909,0.285744301459022,0.567363441065425,NA,0.325068406015711,0.707020864827895,0.791883944320802,NA,NA
"uncultured human fecal virus",0.444134563009818,0.102850037042112,0.00965879692548236,0.0140829828708386,3.47011425757301e-08,1.08395295351641e-06,NA,0.0325740156548256,0.0381795617415419,0.051959913271771,0.548250493232713,NA,NA,0.0459420066597497,0.00392590324625166,0.123392361739248,0.295279452314193,NA,0.428071957484301,0.703229920278825,0.128102282815726,NA,NA
"Anaerotignum propionicum",0.464471207966454,0.325838547513968,0.0374769745770632,0.0416476778471123,2.31198846278859e-09,3.69887173817929e-08,NA,0.510917344509114,0.108467581090561,0.415765776228429,0.192210180310748,NA,NA,0.00505048324950973,0.159458966187572,0.268867383635529,0.612660720252063,NA,0.204350965901631,0.290730293713633,0.00688589254225784,NA,NA
"Roseburia hominis",0.526800767433369,0.185335057915473,0.0352116900519247,0.0893982385426291,9.11125767057548e-09,2.15238411375068e-07,NA,0.0300239740963241,0.375686518981588,0.382139587543111,0.857030653306159,NA,NA,0.033488778369372,0.0232690427963998,0.228498557471745,0.5184914555632,NA,0.197047915469288,0.4676420936028,0.0532735700533516,NA,NA
