"","Ciprofloxacin","Augmentin","Metronidazole","Ceftriaxone","Vancomycin","Cefepime","Azithromycin","Trimethoprim-Sulfamethoxazole","Penicillin","Levofloxacin","trimethoprim-sulfamethoxazole","Dapsone","Amoxicillin","Trimethoprim-sulfamethoxazole","Cefdinir","Metronidzole","Piperacillin-tazobactam","Trimethprim-sulfamethoxazole","Ceftazidime","TMP-SMX","Cefuroxime","Cephalexin","Pentamidine","Pencillin","Doxycycline","Meropenem","Daptomycin","Sulfamethoxazole","Cefazolin","Aztreonam"
"tetM",0.045127321742332,0.117217656447231,0.00156877122390227,0.444354721400321,0.00825953345101358,0.242681904279872,0.00809010924748581,0.281479361139151,0.71868223735974,0.103832090906037,0.241023269285066,0.297868060519504,0.911715569922532,NA,NA,NA,0.0856232064802586,0.0906968409189538,0.809510564048207,0.00657068063587667,0.926390275254781,0.0699440247956594,0.757269674401992,NA,0.000244719608578013,0.0152779279568511,0.992585926783208,0.0329435242148951,7.58970782249063e-06,0.0442487429447179
"mtrC",0.498004825976784,3.42497525840679e-10,0.0266453419481372,0.333712953155456,0.271528707121086,0.147982794197741,3.29746620772843e-10,3.48840174873792e-10,3.48840174873792e-10,0.0665546590435506,0.700909087835466,0.99202323327284,0.0578849078715423,NA,NA,NA,5.54360579074813e-06,0.0563758281751371,0.0563758281751371,0.382818622701446,0.70594332363311,0.5945463750492,0.690250493092974,NA,0.617787289602336,0.253502176399543,0.020219639296955,0.250205720662911,3.42497525840679e-10,3.48840174873792e-10
"arnA",0.206691927384057,0.553393496514553,0.00464377099713246,0.604999190747317,0.949354462820294,0.90230112994254,0.656600273455749,1.31730545449061e-09,0.640718900517152,0.208531493071508,0.934724232278062,0.356460044587302,0.478503612263846,NA,NA,NA,0.0190472134884034,1.29655678854871e-09,1.29655678854871e-09,0.704985475383709,0.595351236409009,0.540702892789697,0.645530198317015,NA,0.910500940027963,0.777481055385415,0.494251543880452,0.349718457576741,1.29655678854871e-09,0.741529933212336
"MexI",0.445001079882299,0.0992371951265742,0.00115091160975743,0.257669386471247,0.679577219265895,0.731488248145178,0.416964981402142,0.960463565907991,0.0797132372705452,0.700579894353151,0.156721599405228,0.517594147914727,0.895501832415967,NA,NA,NA,0.00315611844128153,0.0103478836100219,0.0103478836100219,0.103473187989025,0.700635664102359,0.924202428599809,0.62965871133923,NA,0.161725800030593,0.524929031917264,0.00477700057226981,0.133698646185764,0.784349511298098,4.30211970340843e-24
"Paer_emrE",0.00836241797851412,0.630594594426624,0.592343849383282,0.22461980607138,0.249662515312675,0.280409499345524,0.31741403947909,0.526434101797335,0.817796822645234,0.101471911422091,0.667304578445765,0.350372115145626,0.0445299672246152,NA,NA,NA,0.232780299478969,0.0431893370532854,0.0592141117680583,0.000352187666513932,0.367206024934535,0.884747146387567,0.339247935988463,NA,0.125463008153413,0.277328085814219,0.00538192667363852,0.076738113585965,0.799159421252823,0.263916652860903
"ParS",0.19195583714454,0.0342957335131179,0.794121242167486,0.727795942669576,0.865614861700294,0.441802464357341,0.255401018561004,3.93833459854694e-10,3.93833459854696e-10,0.93349770852763,3.8321809009694e-10,0.360404022528898,0.232868190873901,NA,NA,NA,0.81574738659224,0.032585011751623,0.032585011751623,0.865008874114307,0.984902642814947,0.504829019840938,0.613081568150356,NA,3.65398797941018e-10,0.333777691340964,0.588278485470397,0.891402556450155,0.37362971471818,3.93833459854694e-10
"ArmR",0.00844395442232247,0.471978699339542,0.977715627543226,0.230570583399348,0.8365030272184,0.772659534861439,0.486988134642485,0.386524420071664,0.880442345879744,0.0836773135932123,0.665008931627855,0.98461768256661,0.0454714442808061,NA,NA,NA,0.291911519435971,7.90108117286301e-05,0.119821628231916,0.000616261805092627,0.553967114942572,0.572627757073599,0.243162900779437,NA,0.0460410953959719,0.864450999584911,0.0287250117087245,0.300926039533748,0.826304028676871,0.113371393693165
"patB",0.0121556887819356,4.37477430981432e-28,0.62332983150766,0.764491860495414,0.142286014644419,0.261390746601754,0.0919553591304531,5.37025311081534e-28,5.37025311081534e-28,0.166306675806036,0.712111909167565,0.187981301669293,0.269929059059591,NA,NA,NA,0.452868958285114,0.846881378991041,0.982410636311439,0.0333742078497871,0.123446684230694,0.320551629007028,0.242407534690652,NA,0.473668705013695,0.255643321727377,0.509541811600168,0.517093293430585,0.272312062740553,0.732929987325688
"vanV_in_vanB_cl",0.0245693914461871,0.0478079922603345,0.607819799591787,0.601435355319033,0.274647914402896,0.313476659571874,0.343014833915052,0.84712575278275,0.629183824455548,0.0500907894994747,0.02395786378503,0.83909145618084,0.0079472989265843,NA,NA,NA,0.0354444796977462,0.00679545686293446,0.282445521018745,0.168038501182565,0.862150860718147,0.825623536226518,0.591584429165065,NA,0.00749846631244577,0.783631082906855,0.00269603086448498,0.0722643104844087,0.648904375445175,0.102722831801381
"APH(6)-Id",0.0173116493725215,0.0982461330683224,0.32771131800926,0.188045104183266,0.842185284486971,0.50640436261697,0.48004623735582,0.067265608624429,0.389497260993699,0.2288914827119,0.298979367417051,0.190014231228958,0.138504961187074,NA,NA,NA,0.0717107303678917,0.519337088006154,0.832118623861149,0.0639633819530337,0.744850794167098,0.000440692863246401,0.71337022137552,NA,6.09725008191317e-05,0.000419205421018333,0.332749413084998,0.00941498390552231,0.0559872292106788,3.88535202028887e-17
"dfrF",0.337774252030907,0.335059283182252,0.00173396357278341,0.804259579622772,0.000804601356040743,0.0440247292821176,0.00618400899570156,0.0890097256860617,0.00164653556351158,0.867915425998554,0.0144475525817643,0.0147429269941068,0.975401135598788,NA,NA,NA,0.0214109612225456,0.266160891148669,0.97284509359695,0.346071095401115,0.377117528949097,0.130987578121204,0.934773140854711,NA,0.028047554835457,0.720689273885655,0.930494006209891,0.301630976174405,0.018771223477094,0.87534703182609
"rsmA",0.574322740181348,0.506311989916171,0.762937043333292,0.649770895743355,0.361521709637468,0.215581252133686,0.0776360385379788,0.544398491441624,0.511172668362303,0.147534483098415,0.737688305369074,0.432973691464307,0.464443630734197,NA,NA,NA,0.363179128779072,0.0246590387642646,0.0615895054856035,0.00540226536058887,0.0986121999922743,0.217850040270029,0.378824255071146,NA,0.0421361479155994,0.842741101480039,0.0667089339822549,0.922405841032661,0.358027834902662,0.440867985769441
"CfxA2",0.763605158390863,0.692154703548204,2.09182406294072e-05,0.71233691061562,0.01439239644638,0.130116120344425,0.924970058350801,0.0663943654766906,2.68546994632945e-08,0.0971224905436962,0.00226834007640687,0.960200902211892,0.458306594007731,NA,NA,NA,0.00112382558851965,0.000163629966522089,0.037337932986807,0.642449970068175,0.000253914520037387,0.614333963391446,0.864657025233,NA,0.687321954340681,0.0701005582407942,0.0170529495705966,0.293819409037572,0.0439742898899667,0.0236337947017901
"aadA5",0.0127582451147977,0.617698822755843,0.461405432613806,0.715843235722333,0.0350603253003842,0.383564527746165,1.39623253997067e-07,0.594998971608237,0.594998971608237,0.0223906928519455,0.578644701711561,0.0117927883235153,0.0615739093793469,NA,NA,NA,0.0320809141248863,0.572498216838345,0.944062517359522,0.139326348064167,1.51483647176745e-08,1.53338457749213e-08,0.556895305584456,NA,0.0166651763044918,1.01131107736556e-06,0.318095085317516,0.00317091590706195,0.577534444781553,1.56087524784361e-08
"vanT_in_vanC_cl",0.657945833218462,0.854183649683112,0.790955078488908,0.117808964750583,0.0911646020755334,0.13473548510139,0.333538817993699,3.2787756658639e-16,0.724297604048932,0.119957536887959,0.302381879636438,0.285974536746322,0.409730789568547,NA,NA,NA,0.968667452479459,0.30064937162219,0.00356200464995132,0.648645189019973,0.936392461472859,0.322713432842899,0.836044666955164,NA,0.960285112579444,0.318829628489967,0.109536246061155,0.86000292378304,0.670317040625027,3.27877566586385e-16
"vanS_in_vanC_cl",0.614233812567215,0.621255881718204,0.860162892293008,0.326425654369804,0.002380132030667,0.0201063384408341,0.471517379229584,3.05118547339385e-15,3.05118547339385e-15,0.00706635556878136,0.370001151894686,0.871576521743294,0.516592310994432,NA,NA,NA,0.913623274319391,0.272494190631293,0.0488683339204764,0.182565704933678,0.535352624573401,0.118028298126011,0.719649476805949,NA,0.508473692241096,0.972111254994384,0.0937252610731465,0.679759251413258,2.90624528268613e-15,0.958996486881243
"mel",0.156732292631134,0.23462045461145,0.320223680267864,0.720741809647477,9.67167839014307e-08,0.000362457505064531,0.877121169555848,0.0399409529710506,1.16225787041904e-22,0.000610246921149082,0.394824761429121,0.0243201490495847,0.143143846938158,NA,NA,NA,8.36932763031585e-05,0.137019496210016,0.000602987740480571,0.346104733572963,0.708183348131656,0.306998885423689,0.566300618938119,NA,0.177846743886582,0.0652040110810192,0.000336463556486843,0.0879818156828504,0.502655720500211,0.109587081658881
"ErmB",0.152530009544564,0.263827927974747,0.209810010911614,0.0745266333936544,0.0572661223296759,0.208201288133811,0.00251680117130654,0.353851097725365,0.414684698848783,0.387333219171522,0.0622016433497857,0.105116400531811,0.314003606750654,NA,NA,NA,0.0503194921776585,3.05210101972072e-05,0.0581945682038461,0.00188199921377256,0.00214546273732486,0.299784056830111,0.372255793734088,NA,4.2106559969093e-06,0.563637598493273,0.687584475392083,0.0206850555592674,6.51398471205e-09,0.271755729290438
"Mef(En2)",0.510483810886082,0.558778624509216,0.000509383157504673,0.0530055515277202,0.108821628320099,0.755042361368997,0.339607011008353,4.92500222878882e-14,0.761434072616929,0.0687813291916288,0.00626917170351261,0.141307729205047,0.841843687722641,NA,NA,NA,4.14162636450635e-05,2.73085211306726e-06,0.027230702313827,0.335366381155828,0.0013458977813056,0.991226488120213,0.930456621538696,NA,0.052854375777604,0.509261853704501,0.253184895183549,0.0941571570773319,0.297826524456423,0.168728557643997
"APH(3'')-Ib",0.00711266244043278,0.251968703561764,0.0641783628186366,0.0628182474370096,0.878032265385664,0.394867508678951,0.386869318805967,0.0787241599941846,0.48342888396395,0.0768173249182445,3.6693020864688e-17,0.217410210264907,0.0685090541572002,NA,NA,NA,0.0922472900208813,0.705859625332026,0.594729039241186,0.12557211953526,0.816440885546066,0.431680443590388,0.715040887129631,NA,1.4364699240983e-08,0.175053744861852,0.230977269776216,0.0469091472905526,3.79109049994732e-17,4.0421302286577e-17
"msrC",0.88208053387557,0.443920751464339,0.540563173222357,0.338742891433809,6.68163988948253e-06,4.49667325506818e-06,0.173016588970338,0.56436932355593,0.580634482323141,0.147199641721141,0.720371734815986,0.826634470258783,0.0540962489746579,NA,NA,NA,0.0209098229567242,1.78633258569284e-22,0.0440773244550466,0.00185306153007763,0.169925342901206,0.937213253793614,0.369450078229007,NA,0.0421460004125323,0.312551731409004,0.126964978392389,0.0197387064977452,0.093382507396557,4.58752960875872e-09
"Erm(35)",0.479618740460861,0.72259205598388,0.0716688620725559,0.433423913911837,0.661394531124429,0.489270639722421,0.0521539127218628,0.870026657050929,0.330912381536187,0.529120581200752,0.013930481389789,0.379637112245862,0.91073984425165,NA,NA,NA,0.0687416906527093,5.02863557351447e-21,5.02863557351447e-21,0.336987796236063,0.24737563776077,0.092189990222121,0.0732948573493568,NA,0.214249525949721,0.254391435327177,0.953577716754555,0.740524330866132,0.232477123304502,0.889259017268376
"CfxA3",0.263872462527377,0.797673186365184,0.000556966603942225,0.915941461012426,0.158066947730363,0.374974078645757,0.346535975231667,0.000700135758658367,0.224217856246523,0.914731431495294,0.00711257020855648,0.618642376424312,0.419528944856024,NA,NA,NA,0.368966560471285,9.5611855918579e-16,9.5611855918579e-16,0.00316353039204954,8.8172427402816e-16,9.3095131534386e-16,0.780217273545203,NA,0.635359373124383,8.106626311585e-16,0.335680618788745,0.77361031066281,0.0174056340182454,0.0128853891256522
"tet(A)",0.0979745935212463,0.0166715399651557,0.200738842316778,0.175047534361767,0.932753106630058,0.174447401856077,0.662115826861873,0.0678619201255303,0.535349635225588,0.100087556754339,0.0190417947937548,0.00574362650038647,0.0795993056584458,NA,NA,NA,0.0943541156915097,0.561434870526236,0.777081289937678,0.0497696072918506,0.807687837781379,0.00484766357028626,0.825234351479172,NA,4.82000931740342e-08,0.908381963734415,0.311994798329726,0.0217157907873225,0.0161270017890965,5.54510086131437e-23
"tet37",0.585959597617586,0.624626319484218,0.961627145632876,0.712796748674024,0.0051804033215831,0.00138565659264106,0.102667049794056,0.643638846238867,6.68310223490997e-07,0.0555597491560314,0.384200370928258,0.762425067247958,0.0419288134187022,NA,NA,NA,0.0319480348498562,0.051154796542032,0.316580386840945,0.199727748542226,0.908599925419645,0.662071122866511,0.998269048219501,NA,0.00809043449866017,0.541751175859533,0.0818072597668299,0.311997229525747,0.165721144323227,0.531824831593936
"tetW",0.281561767080589,0.796064412204542,0.0305115964768132,0.115142312770573,3.68827702803984e-06,0.000116144348091511,0.0600442048678757,0.640582044959609,0.442429805299394,0.604618876887494,0.0129597946079386,0.485543031887615,0.0640048182030243,NA,NA,NA,2.50495049281477e-06,0.0540209883113991,0.245788798710908,0.782198782465471,0.205729282103236,0.800602513414984,0.582908790693157,NA,0.73512017892559,0.65209975339792,0.00729782066455062,0.284210101868754,0.000735989971042063,0.557123811214828
"Kpne_acrA",0.0126975776995057,0.929609425880166,0.650154046715245,0.0902455561014253,0.804101946657949,0.72223947242184,0.0619443595654394,1.68321224312362e-17,0.621521646144352,0.55234466250544,0.623880423260148,0.441237793211736,0.356190514383754,NA,NA,NA,0.96373491966052,1.57328005792845e-17,1.57328005792845e-17,0.295574484010816,0.316748663396061,0.644722662365019,0.145881615491447,NA,0.243665671501424,0.276622847342626,0.433345657034151,0.240934142307508,0.286021001310407,1.68321224312367e-17
"OCH-1",0.109896546366029,0.723711883914594,0.532590808949104,0.223048191373632,0.0110217422006491,0.00123935903913047,0.617136664293918,0.888736293302518,0.888736293302518,0.383718167335868,0.0723248168358158,0.00777951770593076,0.00991703722602272,NA,NA,NA,0.116245663556044,0.12486389805534,0.12486389805534,0.108155422687339,0.311139858709797,0.197542426442787,0.89549341274008,NA,0.213456574311337,0.568566561416612,0.17777858360031,0.666093914430481,0.994970964770865,0.831122370087404
"qacJ",0.549310281602318,0.228362017835142,0.599095064445444,0.609727462349279,0.19719538229913,0.102553483549496,0.155373897421673,0.728598075894669,0.254957072732845,0.0931198347035594,0.914617471440354,0.0269772686886368,0.0466744437795478,NA,NA,NA,0.079046025125212,0.00944808320332742,0.452345293071639,0.120778677683537,0.116270275232452,0.632902216963089,0.794331360114,NA,0.014965374260259,0.551594109832404,0.0179048047668109,0.356569617174974,0.464788514786368,0.190420853821733
"OKP-B-12",0.679687838171383,0.523121726771079,0.944660897288476,0.15958923994489,0.384235426423351,0.699254732287264,0.86366170480853,0.247925484140894,0.722016005880817,0.136047855329272,0.900042607255575,0.515381458794555,0.502240372507981,NA,NA,NA,0.566916198851626,4.4002976399434e-15,4.4002976399434e-15,0.641141685618054,0.243546154995227,0.869952344103714,0.479695219357357,NA,0.01802318669084,0.747982253802238,0.869548508739826,0.696708047841366,4.4002976399434e-15,4.6134993980077e-15
"SHV-12",0.168631291712141,0.174630882646679,0.538118093989998,0.939131333199548,0.487349425910195,0.428353047931209,0.511555605792669,0.700080541845969,0.700080541845969,0.988465039475124,0.401511897304253,0.409044734289373,0.0464827858514859,NA,NA,NA,0.960465213873445,0.0620422479710601,0.0620422479710601,0.0368939277647022,0.867962999538157,0.771898492416893,0.808236042283033,NA,0.93054278685521,0.958513997272782,0.538682319183548,0.6367705916385,7.2661704624867e-15,0.768386563624599
"ykkC",0.0283685341682355,0.834558932251748,0.451446909199351,0.39555395663178,0.508005852948205,0.742679511939458,0.926143169370732,0.428488575636785,0.96303041179607,0.237374698765485,0.528865043304154,0.806311233381994,0.113791921684021,NA,NA,NA,0.689653717324002,0.192502774031821,0.148727855861471,0.0372631011174894,0.534119196476572,0.0233455489751506,0.472563822453409,NA,0.0754504688261299,0.832337378734545,0.0144503893474893,0.933519357300898,0.826087465935216,0.279591086548113
"ykkD",0.00879995215929119,0.75702527814927,0.887684134862649,0.438170634349402,0.707756805003023,0.623329954995922,0.158166688724901,0.899660617879525,0.721591505322998,0.0218682812959671,0.429234568816595,0.289907827325689,0.0488401297604331,NA,NA,NA,0.251414131929554,0.0247218763794533,0.252692936931728,0.000883444006327753,0.890070226267713,0.495534308096674,0.333721646319388,NA,0.00999144802952169,0.967801723813467,0.0320450946597586,0.211466225284399,0.200192418755264,0.0886180195601588
"tet(40)",0.00917123871822859,0.617224502807668,0.0105870406315929,0.882209049757913,1.02156062936046e-13,6.81742537394337e-09,0.887005456359194,1.72392559053356e-12,0.0122192797858766,0.0010801196685284,0.0557223565391018,0.289328086405737,0.0700820381351262,NA,NA,NA,1.11652271273013e-06,0.00349675281049687,0.250325779639591,0.541704774957789,0.457342988824763,0.642157014300812,0.573497352973689,NA,0.807254856777436,0.766273274254449,0.00892152402817899,0.00280769274402894,0.00503914233280543,0.674090301243676
"rmtB",0.0794983638042233,0.647145018675445,0.237055404511964,0.61262684957844,0.00117349005251543,0.00415229701294629,0.542284203845188,0.242920548428466,0.932946041408028,0.189251550157698,0.374091140345981,0.314756143659395,0.142686830446932,NA,NA,NA,0.130582066734365,0.0270511843499832,0.841577853718195,0.571755142825234,0.338198879909734,0.152235169779581,0.789325316953027,NA,0.464706845219258,0.615394386402645,0.00125038366677333,0.430786162412289,0.488757082938964,0.763842424391038
"rpoB2",0.604291047297087,0.728026096806462,0.76973860878807,0.948297104226724,9.34185330367931e-06,0.000406734772613562,0.788240142683909,0.965694240121453,0.47899931853356,0.021474366484083,0.32197644852332,0.443675295292967,0.00174959777920546,NA,NA,NA,0.00459504496649846,0.00431432985064548,0.286665564455381,0.320723742698861,0.497600563683065,0.117249725445399,0.912420111819861,NA,5.73310955797993e-05,0.523424456413063,0.0179276491980551,0.37462000928759,0.00171221055360216,0.979731575752176
"Kpne_KpnE",0.33527947300777,0.470702199953463,0.950406620501233,0.825535207647543,0.647436915694653,0.979083175588136,0.289428359605107,0.00186110838562975,0.61717410315838,0.181320300533209,0.116252458655837,0.479733471985391,0.578898519346639,NA,NA,NA,0.669964406356525,0.00189506254423688,0.463136035013441,0.0437843346798466,0.778308399592364,0.47927993709332,0.479962133510875,NA,0.387427410681686,0.152870800635365,0.320843446595293,0.997837591991952,0.0556224243101267,0.095475732863439
"Kpne_KpnF",0.314830262507743,0.350585028758524,0.944537104498208,0.114403850990058,0.978472424513026,0.830064849295878,0.543479167510687,0.276947398893404,0.23072329907463,0.0940776077855754,0.0961034732923361,0.617142040595223,0.19879635211901,NA,NA,NA,0.227674725427089,0.0118578078205588,0.168700937471964,0.139336113810968,0.73064132573331,0.616920392082366,0.161146473277734,NA,0.258159304236657,0.786834501783754,0.103206143094156,0.86358849238981,0.692882567806642,0.794402540026814
"marA",4.16326145789121e-06,0.0045048541017435,0.154958772725617,0.322113868095031,0.578221775132191,0.453738906210685,0.000940603597547299,9.58984465801686e-60,0.793695378929521,0.848336492429611,0.0819283222728606,0.58766037028397,0.0525824695339905,NA,NA,NA,0.066429066951524,0.0121273486510266,0.157175147403701,0.00108766319164607,0.0264405863577585,0.247231248736967,0.535787126670189,NA,0.137664740876101,0.251528935366257,0.246332659356688,0.0601162189276333,0.0033180214611644,0.518707401683743
"baeS",6.57071522053482e-06,0.109559656007,0.714251685371406,0.246904760372087,0.142389888416145,0.034095605730068,0.189811478168769,0.0318228679157837,0.596528956561951,0.97578631288815,0.0868217863401125,0.770972454091173,0.0312838078289207,NA,NA,NA,0.269671157643726,0.0176656291104778,1.29045297621431e-10,0.000119157971424479,0.069890184265276,0.408570278407397,0.551509645849752,NA,0.345822523751443,0.333507949424617,0.129567505952427,0.00788617372371408,0.0551504482547412,4.80473504461018e-32
"baeR",7.41579571341054e-06,0.024053338395015,0.099543640152398,0.694473289445769,0.131913418446839,0.027110134580407,0.0129332431869846,0.0492586303361811,0.729531991409083,0.906651831467547,0.141876909466858,0.775103339192343,0.0236364273992069,NA,NA,NA,0.128181621367277,6.54742046944393e-24,6.54742046944393e-24,0.00241088508762488,0.18403700938482,0.000941993826886692,0.383915511228128,NA,0.0323449541190618,0.486339340257986,0.265667428135829,0.0593824179027621,0.183681751753217,7.53321956918182e-24
