"","ciprofloxacin","amoxicillin-clavulanate","metronidazole","ceftriaxone","vancomycin","cefepime","azithromycin","trimethoprim-sulfamethoxazole","penicillin","levofloxcacin","dapsone","amoxicillin","cefdinir","piperacillin-tazobactam","ceftazidime","cefuroxime","cephalexin","pentamidine","doxycycline","meropenem","daptomycin","cefazolin","aztreonam"
"Enterococcus raffinosus",0.0366402036817789,0.996073155558381,0.612444334195229,0.559172938409658,0.0167236429780226,0.105619114033605,0.108319365935385,0.613038680028002,0.552719214647024,0.583025840803009,0.602387434025379,0.991313641981919,NA,0.408865458152527,0.0983744586182524,0.231431979012397,0.983513014164853,0.99881363774454,0.771010274707925,0.999859155606275,0.868008812794636,0.99651051969426,NA
"Bifidobacterium catenulatum",0.0545083922455216,0.927186524299144,0.221902276764438,0.410461102813135,3.56151124012119e-08,3.79365922312741e-07,0.858522006927219,0.242053106521919,0.686814868593295,0.583025840803009,0.994544126776376,0.568056410136635,NA,0.0177182291346799,0.424074872987559,0.338894514635962,0.983513014164853,0.99881363774454,0.771010274707925,0.999859155606275,0.299891004967423,0.99651051969426,NA
"Christensenella minuta",0.0690366081708922,0.978698177530851,0.496949582645155,0.613381696685562,7.89199116793824e-06,0.000798648609900554,0.819016680703399,0.401519046848516,0.534821189132893,0.390765163681278,0.937385535071446,2.10457804563586e-14,NA,0.0185605619953845,0.281658987613755,0.364626788800889,0.983513014164853,0.99881363774454,0.771010274707925,0.999859155606275,0.157366163711665,0.99651051969426,NA
"Butyrivibrio hungatei",0.00933284896428527,0.927186524299144,0.6291421733858,0.609780681449464,5.26552755229494e-11,6.39215495594791e-08,0.862766464054168,0.0792289279247888,0.505102297449115,0.425896020210761,0.996175812284058,0.30351791564884,NA,0.00305271499582534,0.359485297475232,0.382827205423649,0.983513014164853,0.99881363774454,0.815050891732632,0.999859155606275,0.125374673816284,0.99651051969426,NA
"Oscillospiraceae bacterium",0.000863010358028938,0.996073155558381,0.426604198622741,0.534168915102998,3.2640095502656e-11,6.83671868343963e-08,0.819016680703399,0.0479803005876631,0.275309668353948,0.337585218632169,0.996175812284058,0.000203281000214036,NA,0.000692440442130109,0.194310797344754,0.382827205423649,0.983513014164853,0.99881363774454,0.771010274707925,0.999859155606275,0.11343314194127,0.99651051969426,NA
"Streptococcus infantis",0.297277124275694,0.969777524427684,0.628133880605075,0.750540911512393,0.0458028140132216,0.0486031852176154,0.794166006499153,0.234395004648351,0.449811929258854,0.985485005749705,0.996175812284058,0.785168275150756,NA,0.528779840522216,0.135840945987207,0.375247189895004,0.983513014164853,0.99881363774454,0.821713885949209,0.999859155606275,0.868008812794636,0.99651051969426,NA
"Lactiplantibacillus plantarum",0.136935433972456,0.927186524299144,0.642966479699355,0.410461102813135,0.847962018812577,0.570916471021941,0.862953132439096,0.405181099826566,0.114967932023455,0.649342576282337,0.996175812284058,0.644530860778654,NA,0.701232010368549,0.756417527865939,0.433619757077893,0.983513014164853,0.99881363774454,0.848392206252994,0.999859155606275,0.267023411094032,0.99651051969426,NA
"uncultured human fecal virus",0.000350155053277148,0.927186524299144,0.148026127309484,0.310536289268219,8.6095235939641e-13,6.83671868343963e-08,0.873023715882971,0.19893852657962,0.320294110417556,0.404592126132739,0.996175812284058,0.716628956448977,NA,0.00212835430065709,0.0486864800955277,0.338894514635962,0.983513014164853,0.99881363774454,0.771010274707925,0.999859155606275,0.182299409307653,0.99651051969426,NA
"Anaerotignum propionicum",0.0372147341919119,0.961436986873231,0.594440646787195,0.582453111119335,4.16030475239546e-09,2.5369276057357e-07,0.819016680703399,0.0152914539282303,0.449408011121763,0.337585218632169,0.939585436593641,0.00178928454301512,NA,0.00950450150011418,0.341697784687654,0.418727832376668,0.983513014164853,0.99881363774454,0.771010274707925,0.999859155606275,0.10332601665728,0.99651051969426,NA
"Roseburia hominis",0.000995531458317893,0.941041515443816,0.497330771197502,0.800319632991039,5.31875757272471e-13,8.331667462714e-08,0.819016680703399,0.128848784083854,0.620496571402236,0.423857531400443,0.996175812284058,0.619949464939325,NA,0.00165161106910104,0.151248778176599,0.382827205423649,0.983513014164853,0.99881363774454,0.771010274707925,0.999859155606275,0.107797549104586,0.99651051969426,NA
"Novisyntrophococcus fermenticellae",0.0219002299485113,0.927186524299144,0.698838098627489,0.530623611044908,2.19404476318893e-10,1.32481652687511e-07,0.869363603675994,0.0531707490227692,0.304858260090287,0.337585218632169,0.996175812284058,0.0103987531458554,NA,0.00412436366955388,0.262474638744232,0.364626788800889,0.983513014164853,0.99881363774454,0.771010274707925,0.999859155606275,0.114322277684389,0.99651051969426,NA
