"","Ciprofloxacin","Augmentin","Metronidazole","Ceftriaxone","Vancomycin","Cefepime","Azithromycin","Trimethoprim-Sulfamethoxazole","Penicillin","Levofloxacin","trimethoprim-sulfamethoxazole","Dapsone","Amoxicillin","Trimethoprim-sulfamethoxazole","Cefdinir","Metronidzole","Piperacillin-tazobactam","Trimethprim-sulfamethoxazole","Ceftazidime","TMP-SMX","Cefuroxime","Cephalexin","Pentamidine","Pencillin","Doxycycline","Meropenem","Daptomycin","Sulfamethoxazole","Cefazolin","Aztreonam"
"Novosphingobium pentaromativorans",0.389220907868405,2.48444978680739e-11,2.3966643006197e-11,2.25091934393721e-11,0.292160516022978,0.77136938555816,2.48444978680739e-11,2.48444978680739e-11,0.68462769504348,0.147034628991311,NA,0.0312053222804406,2.48444978680739e-11,NA,NA,NA,0.0253088149530798,NA,2.45516470328999e-11,0.16922788331766,2.3966643006197e-11,0.711126914030901,NA,NA,2.33827086745925e-11,0.778141946663045,0.371109058514575,0.986161562211963,NA,NA
"Bacillus sp. 1NLA3E",0.50133497806542,0.501244645050273,0.0130933263680845,0.642116228055063,3.96683790221234e-11,1.35469977902719e-11,0.887742943507484,4.65182298666588e-11,0.0530937988643871,0.636608797882992,NA,0.311945824023581,0.785842640752249,NA,NA,NA,0.191362610510494,NA,0.135919707012297,0.98879167811725,0.391833652573294,0.769945860389161,NA,NA,0.0986776398224996,0.0253890668864,0.0106816191703963,0.163894197941716,NA,NA
"Alcanivorax xenomutans",0.628259661258133,6.64143457450707e-19,5.87660835612415e-19,0.315375504346191,3.69391309458527e-08,6.72038031432572e-06,0.697646366965417,0.686396135659027,0.686396135659027,0.780006807062932,NA,0.110062221672453,6.64143457450707e-19,NA,NA,NA,0.024558619964674,NA,6.37928579499808e-19,0.489472827939227,0.462051355276903,0.805745715960528,NA,NA,0.630111469266314,6.12437466372042e-19,0.0515977151232015,0.581532313212242,NA,NA
"Alkaliphilus sp. B6464",0.178880827497599,0.417663055205901,0.0712857948548336,0.399276256155553,3.72442968663917e-09,4.25617981330075e-07,0.681798262122982,0.0478613782156874,0.000114346404681105,0.303856636927726,NA,0.625384883013838,0.705528188136563,NA,NA,NA,0.0303207696543344,NA,0.349328121532563,0.0653976193145447,0.366645168060588,0.68365161035978,NA,NA,0.15146797670587,0.144371278522037,0.0349931331660235,0.38771737629167,NA,NA
"Flavobacterium sp. LPB0248",0.127907169199845,6.66009652318018e-26,0.479155254578307,0.65743746084799,0.00476751925162992,0.0223105517171859,0.93988906193454,0.885469919044402,0.885469919044402,0.770217091613296,NA,0.200300507855323,6.66009652318018e-26,NA,NA,NA,0.0663784834443484,NA,6.11948615357679e-26,0.244232016484899,0.943721028578458,0.884337742377831,NA,NA,0.813941728993595,5.61605339978431e-26,2.97134855932022e-26,0.132203309719765,NA,NA
"Methanosphaera sp. BMS",0.0072565849858715,0.728011387127081,0.0561651229139544,0.786625324764713,0.00185335786392526,0.00184346342295047,2.56730852840538e-35,7.32679449134948e-05,0.300765561813236,0.873618379596315,NA,0.0641649069059766,0.751155303498434,NA,NA,NA,0.0325353665061998,NA,0.350360789484208,0.163349306025319,0.205515575939016,0.26920115465666,NA,NA,0.42831933192616,0.999698187196065,0.248075255084296,0.129773059304491,NA,NA
"Leptospira kobayashii",0.113700388543946,4.4099053434057e-31,2.96312093590244e-31,0.464486265133369,7.40902567871899e-08,1.56173576227121e-10,0.301632004663483,0.829744552518248,0.0723206378693424,0.491592042380863,NA,0.634127573800191,0.901445653876465,NA,NA,NA,0.0720668108150096,NA,3.87030821100301e-31,0.500288472721058,0.804129412693357,4.4099053434057e-31,NA,NA,0.337109965486411,3.38994338907072e-31,1.100632070556e-05,0.677435228046393,NA,NA
"Acidianus manzaensis",0.267503658875557,1.02838528930017e-37,0.0399495703732794,0.285959086475448,0.00402250163098129,0.254801543923247,0.900901538260312,0.0631299936742738,0.236883477181928,0.605885394534496,NA,0.567351547658712,0.986167304796127,NA,NA,NA,0.11638044443539,NA,0.277598338968151,0.932056506574566,0.849895950831006,0.928547360224686,NA,NA,0.620863601124824,0.0582739989568937,0.00225847388867815,0.865543372424835,NA,NA
"Corynebacterium freneyi",0.86962315290603,6.70784836216886e-26,5.18504618338015e-26,0.422819071084446,6.14618715301921e-05,5.50348914801509e-06,6.70784836216886e-26,0.986772285432194,0.0175000465868968,0.0915564676017078,NA,0.51123603071796,0.768834717323332,NA,NA,NA,0.869674299155755,NA,6.16350970463748e-26,0.849328136652748,5.18504618338026e-26,6.70784836216886e-26,NA,NA,0.41141480249107,0.593147864248879,0.213706954366692,0.437334598681741,NA,NA
"Diaminobutyricimonas sp. LJ205",0.0016726645130705,4.3303960756792e-17,0.745726201901428,0.554647963956388,0.158153341786725,0.0021215489636777,4.33039607567905e-17,0.0125757509057863,0.0932591217687026,0.305637379741552,NA,0.495820155532107,0.719495668755175,NA,NA,NA,0.60328094131276,NA,0.97755578469587,0.355041532183035,3.93255276511307e-17,4.33039607567905e-17,NA,NA,3.68045630376847e-17,0.675504069368593,3.20733731660054e-17,0.813074461872035,NA,NA
