"","ciprofloxacin","amoxicillin-clavulanate","metronidazole","ceftriaxone","vancomycin","cefepime","azithromycin","trimethoprim-sulfamethoxazole","penicillin","levofloxcacin","dapsone","amoxicillin","cefdinir","piperacillin-tazobactam","ceftazidime","cefuroxime","cephalexin","doxycycline","meropenem","daptomycin","cefazolin","aztreonam"
"tet(W)",0.00927641742690197,0.115308985205174,0.062828905069367,0.00468478611679111,0.0657623706852983,0.0311657387824356,0.0810452602650568,0.886176323803163,0.561317629185386,0.497953800946041,0.123885651845424,0.748787446061444,NA,0.149144857470993,0.490314631438207,0.0584722771874302,0.495409150186275,0.432480928269561,0.617227183179198,0.0227611142273289,0.940385393497716,0.0281520628237039
"vanS-D",0.0698252385404483,0.480265710043941,0.158077170521581,0.643355452601127,0.359113630205079,0.0218920842477827,0.231962070241657,0.00596366456512264,0.488079085494299,0.609462562122748,0.216447741834473,0.983505814695947,NA,0.015548561139948,0.916150780850176,0.0790568583066209,0.665659997288585,0.28374183389157,0.837335387552623,0.0493472841099407,0.954799021860976,4.00163740626356e-32
"vanR-D",0.264586495374608,0.489418408444989,0.903800651724905,0.561745710475875,0.133489518219956,0.0119168515313481,0.34628262188517,0.00190624318732913,0.431124025906464,0.0605235730393245,0.255333290799569,0.765648103283853,NA,7.51485635490375e-06,0.841129534031879,0.0629783025706392,0.403237700035942,0.565161968937293,0.906383060657718,0.0282205463828565,0.858309096285576,0.252887763512075
"sul2",0.0357527842622422,0.172666344412117,0.00521202514233348,0.64194917849082,0.538538879981793,0.759253641704667,0.98198483396216,0.026555566996135,0.976845091727385,0.0509042524125278,0.302906940940941,3.62935840134028e-11,NA,0.0261358565605657,0.782659585167496,0.577521516081341,3.50305421115195e-11,0.711095107750978,0.179498691184899,0.331459206719397,0.157156552264154,3.62935840134028e-11
"tet(O)",0.0562218704659801,0.866009221471794,0.383512767085151,0.818753164383605,0.594594565271722,0.88977601739352,0.405995402212221,0.769859474588126,0.740653009974714,0.499459841109567,0.156261005769657,0.890811806508144,NA,0.421525712029128,0.480782348843429,0.938043455445714,0.602646099503413,0.0452533939230028,0.907703206501041,0.20360880245349,0.0578317109305222,0.0963001445202523
"mef(A)",0.359535344843413,0.774964669823991,0.190422858775325,0.658538570539328,0.185921912904646,0.814997323612965,0.408205987071861,0.19448638605031,0.65567437294762,0.233371204063398,0.49981340349177,0.0493142444058652,NA,0.162365782250655,0.109802574195461,0.257575175708984,0.139983526798923,0.0709881548953492,0.0838347667276588,0.463203680684929,0.531467719859135,0.000270674014317909
"aadE",0.578384918959789,0.404163337475579,0.442547331114427,0.00864263309205789,0.000519653327118917,0.00296461711703909,0.754079491976845,0.196671003539334,0.153593637628608,0.28287873578204,0.110200482638029,0.468163610499664,NA,6.85777125432387e-08,0.07064730785631,4.54676879816371e-06,0.413678628793656,0.086069533556912,0.341802315911886,0.853041850072247,0.14901265487871,1.9386543978636e-05
"lnu(C)",0.0108877181244271,0.530848403983041,0.985835610146644,0.000950806635529004,0.0395691719067996,0.312235325269248,0.0463325457809424,0.569355008481624,0.353921764445981,0.893801571269412,0.163211980136985,0.727220446406514,NA,0.00868049316932733,0.16962059880985,0.169157721452686,0.372797857952857,0.400199901503609,0.646795686429612,0.990278159454059,0.47567120363211,2.29174564201824e-13
"tet(40)",0.0661619309989878,0.0791772501364134,0.0454293834949777,0.45007240177872,3.66434615811052e-09,5.83181145541019e-05,0.645799115278641,0.00225012953627183,0.948807840803605,0.0427944236388288,0.475440714247041,0.4020595230182,NA,4.71163563702526e-05,0.102724245229497,0.408728746812227,0.723471854682134,0.799112986460717,0.915293005244434,0.0434478879359724,0.0785081017557701,0.724679379399668
"msr(D)",0.106215999305934,0.913842395051703,0.658579654159761,0.13422622852525,0.314436581755862,0.801933793534758,0.783039741822367,0.715344987300379,0.694390954214029,0.109635701437153,0.633621427405403,0.797997550456822,NA,0.013930185406457,0.0644912921421373,0.0857802055385418,0.312172495942007,0.220041801539504,0.0106322451235005,0.894129351700804,0.389783885913048,0.276063858771448
"vanH-D",0.287443773252284,0.0257176360143241,0.0187929391613675,0.261122753168889,0.198960817014486,0.00773966577694362,0.0871071722191745,0.0284425177731841,0.350982325900424,0.971022421280935,0.252034771525316,0.770480516531187,NA,0.0211249420564098,3.72993212162753e-15,0.360942684908017,0.482191359171942,0.905547756784029,0.778434846471016,0.0801456233842425,0.165028775446766,1.13646654301062e-60
"vanZ-A",0.429821648483948,0.659463786507859,0.809345945001461,0.57373799540341,0.000835824537924094,0.00405732466278031,0.134690936478886,0.904765800444066,4.15750292584503e-15,0.109731817074793,0.356738652530777,4.25906493497229e-15,NA,0.0943200087788278,0.128982144713219,0.00501560895965777,0.344345006609467,0.146857488890547,0.10937616671205,0.0261229234232861,0.410595631397284,4.25906493497226e-15
"dfrF",0.586265941873925,0.64360520475313,0.798792909785502,0.73535421154506,0.321128603866694,0.0184036827821011,0.174490760358457,0.0171017106024579,0.597539314139976,0.11688651303158,0.0964566237420397,0.680692183576166,NA,0.281012794226542,0.709635114836286,0.708864977332378,0.806328713398298,0.196815564996839,0.977224975903327,0.69242994858052,0.633929778116275,0.794360367836572
"erm(B)",0.0702710429206339,0.629823959579915,0.339489342614579,0.0158450232176712,0.854517730304643,0.667641111095782,0.320043180604232,0.726590887677781,0.485614449372093,0.575461289302352,0.65521914186522,0.823105527597914,NA,0.97912970694233,0.173600309219158,0.00209115712056073,0.308473856680861,0.109408966857533,0.0766953358919154,0.91026417234594,0.924937445352338,0.0201181744442141
"vanX-D",0.143339162475784,0.352995796428535,0.0712952998851062,0.785336006080608,0.104748500149014,0.00930726860840065,0.237254226239671,0.0794744307225303,0.0412493253594784,0.288389654516801,0.886607114936525,0.660004140481493,NA,0.000326895501888504,0.518329981697983,0.107841966446917,0.611572082451559,0.687772257189381,0.799870175850386,0.0491243541274671,0.869339308606232,2.00567517851798e-37
