"","ciprofloxacin","amoxicillin-clavulanate","metronidazole","ceftriaxone","vancomycin","cefepime","azithromycin","trimethoprim-sulfamethoxazole","penicillin","levofloxcacin","dapsone","amoxicillin","cefdinir","piperacillin-tazobactam","ceftazidime","cefuroxime","cephalexin","pentamidine","doxycycline","meropenem","daptomycin","cefazolin","aztreonam"
"Enterococcus raffinosus",0.104178435061491,0.945105809802853,0.774136583727823,0.958790021918289,0.0213298564360021,0.145653305188196,NA,0.63951852202973,0.552719214647024,0.861895057133184,0.118620988107143,NA,NA,0.917803073514112,0.0983744586182524,0.231431979012397,0.91066543024354,NA,0.446842680878252,0.865623201070893,0.935818183546169,NA,NA
"Bifidobacterium catenulatum",0.92325532527556,0.917461199440424,0.388257133219381,0.365577781917275,0.00010083563311885,0.00011735952626944,NA,0.943898779246219,0.686814868593295,0.967156194310166,0.973628666325167,NA,NA,0.267706424862557,0.424074872987559,0.338894514635962,0.000102997395633059,NA,0.853148230093042,0.910456156775479,0.314607167204917,NA,NA
"Christensenella minuta",0.6116175466451,0.560360140056049,0.491389617011918,0.264028612402714,0.011811931189974,0.00387154977902738,NA,0.627586317687242,0.534821189132893,0.764380428150439,0.942909279893399,NA,NA,0.430851631484731,0.281658987613755,0.364626788800889,0.91066543024354,NA,0.821792838735918,0.559669663438704,0.279643474221462,NA,NA
"Butyrivibrio hungatei",0.853100000994618,0.611100029806591,0.191313458783599,0.240512267400478,1.02428397564847e-07,5.18904663796719e-07,NA,0.530849442146012,0.505102297449115,0.882997001384442,0.973628666325167,NA,NA,0.0632610961171575,0.359485297475232,0.382827205423649,0.91066543024354,NA,0.861918704437784,0.632517084838874,0.154227350924212,NA,NA
"Oscillospiraceae bacterium",0.709086819191107,0.587980805818816,0.122709948502945,0.248315407031853,2.20921783759505e-07,1.25625165070527e-05,NA,0.515378281452928,0.275309668353948,0.795784900955683,0.97053134722609,NA,NA,0.0632610961171575,0.194310797344754,0.382827205423649,0.91066543024354,NA,0.821792838735918,0.873630193933202,0.154227350924212,NA,NA
"Streptococcus infantis",0.6116175466451,0.85180476389335,0.624050900389989,0.967906639421098,0.318400579063567,0.200533223001114,NA,0.515378281452928,0.449811929258854,0.701537004219469,0.942909279893399,NA,NA,0.376665922439479,0.135840945987207,0.375247189895004,0.91066543024354,NA,0.853148230093042,0.605767711008768,0.875328326434456,NA,NA
"Lactiplantibacillus plantarum",0.823595969554447,0.574860006002317,0.982056943618801,0.274757943066195,0.529288770838285,0.690546486412611,NA,0.535631497733513,0.114967932023455,0.943217871240847,0.999781135806209,NA,NA,0.940407078025598,0.756417527865939,0.433619757077893,0.91066543024354,NA,0.821792838735918,0.850373692261964,0.839224832296502,NA,NA
"uncultured human fecal virus",0.725351881664267,0.530787589765955,0.0672666214453236,0.212615937942121,1.80445941393797e-07,4.2701176956707e-06,NA,0.515378281452928,0.320294110417556,0.450319248355349,0.973628666325167,NA,NA,0.111288090666474,0.0486864800955277,0.338894514635962,0.91066543024354,NA,0.83058738019342,0.850373692261964,0.257902558593118,NA,NA
"Anaerotignum propionicum",0.728064887132449,0.594096746619475,0.126159573160326,0.234506031100299,2.50465416802097e-08,4.04391594551642e-07,NA,0.738509033180151,0.449408011121763,0.782284899121234,0.812790545370893,NA,NA,0.0531193970851516,0.341697784687654,0.418727832376668,0.91066543024354,NA,0.821792838735918,0.619933142813556,0.130112390292447,NA,NA
"Roseburia hominis",0.77000540429187,0.559836716786233,0.124841446547733,0.263926450069424,6.83344325293161e-08,1.10451290047732e-06,NA,0.515378281452928,0.620496571402236,0.764380428150439,0.983663397356387,NA,NA,0.0991571975355958,0.151248778176599,0.382827205423649,0.91066543024354,NA,0.821792838735918,0.688227986811667,0.17245686267437,NA,NA
"Novisyntrophococcus fermenticellae",0.832030314974933,0.587554707254639,0.147916056701201,0.212615937942121,1.80954222863757e-07,8.51375306928553e-07,NA,0.519712084521018,0.304858260090287,0.863608325988353,0.973628666325167,NA,NA,0.064724237657999,0.262474638744232,0.364626788800889,0.91066543024354,NA,0.821792838735918,0.605767711008768,0.154227350924212,NA,NA
"[Clostridium] innocuum",0.409240329744814,0.551792088035735,0.591491837895218,0.240512267400478,0.604185006258551,0.166736917509039,NA,0.868996237695694,0.530824115914541,0.7620883007176,0.841821976588821,NA,NA,0.0807022595498748,0.216292719648222,0.342157607492412,0.91066543024354,NA,0.866403111847808,0.527986655666059,0.322283034555608,NA,NA
"Leuconostoc mesenteroides",0.154038974257357,0.903530849698982,0.147916056701201,0.283723199774891,0.000154945336532976,0.000148637945036186,NA,0.605895194523725,0.762924568364451,0.965027680853786,0.97053134722609,NA,NA,0.252601420433421,0.335738186675397,0.969144414670477,0.541269525775505,NA,0.987240658353044,0.927323743834125,0.955794781727869,NA,NA
"Pauljensenia hongkongensis",0.226693008235299,0.908604984093843,0.524384882331499,0.552204156597362,0.0532898827926834,0.0020295166857565,NA,0.535631497733513,0.602934006812782,0.880906098753994,0.969056162518592,NA,NA,0.494795707816135,0.447046867353087,0.287001420602391,2.78226437624416e-79,NA,0.821792838735918,0.619933142813556,0.178854546100432,NA,NA
"Bacteroides zhangwenhongii",0.950621531379553,0.520738332435276,0.0345279867977789,0.262005394029304,0.177381765402214,0.0658384768595095,NA,0.515378281452928,0.466298535738325,0.477434246563953,0.97053134722609,NA,NA,0.203174292673983,0.100651059815562,0.0210533633993883,0.91066543024354,NA,0.864190372967613,0.653120398696394,0.430290728868994,NA,NA
"Ligilactobacillus salivarius",0.165614270445957,0.551792088035735,0.403403759801048,0.922686680135659,0.0144905735925141,0.000714083907303333,NA,0.584229627056241,0.279774701216547,0.701537004219469,0.544195027190336,NA,NA,0.792759344408158,0.13803074057953,0.532812003438054,0.91066543024354,NA,0.864190372967613,0.559669663438704,0.684155529391292,NA,NA
