"","vsearchPostWilcox_p","vsearchPostWilcox_adj_p"
"OXA-113",0.757223075774863,1
"vgaD",1,1
"dfrA15",0.076860941576401,0.911502895168957
"blt",0.896143274842587,1
"Ccol_ACT_CHL",0.0327311530967493,0.911502895168957
"OCH-3",0.866978109432236,1
"OXA-50",0.419635108684094,0.965160749973417
"QnrC",0.298433303469189,0.954191429950606
"CFE-2",0.0826913626863903,0.911502895168957
"ceoB",0.74745550805336,1
"ErmN",0.737627889532381,1
"mexQ",1,1
"MuxC",1,1
"norA",0.67370245840954,1
"TEM-126",0.745936427106314,1
"OXA-347",0.204538185847309,0.921045295073559
"TEM-194",0.392489110339594,0.954191429950606
"tetB(60)",0.466634664477062,0.974428292711176
"MCR-4.2",0.82676276070845,1
"MexW",0.353724974156146,0.954191429950606
"tmrB",0.814237644983584,1
"FosA2",0.875776677452632,1
"ErmX",0.0741393230389246,0.911502895168957
"OpmD",0.482325710104529,0.974428292711176
"EC-13",0.627456194834462,1
"AcrS",0.760024237523761,1
"vanR_in_vanC_cl",0.222716416360652,0.921045295073559
"OXA-85",0.076860941576401,0.911502895168957
"CARB-42",0.778414817099567,1
"SHV-6",0.814237644983584,1
"HERA-1",0.639087032443365,1
"CMY-20",0.141708856403842,0.921045295073559
"KPC-9",0.356481779471052,0.954191429950606
"Ecol_ampC_BLA",0.980640816953852,1
"opmE",0.632831371972408,1
"cmeB",0.813905361131607,1
"APH(2'')-Ig",0.325315358905485,0.954191429950606
