"","PreWilcox_p","PreTtest_adj_p"
"Propionibacterium",0.370219099785663,0.944615559321442
"Cutibacterium",0.551631340795428,0.944615559321442
"Nocardioides",0.370219099785663,0.944615559321442
"Streptomyces",0.260978804477257,0.944615559321442
"Amycolatopsis",0.260978804477257,0.944615559321442
"Collinsella",0.551631340795428,0.944615559321442
"Lancefieldella",0.095177423195999,0.944615559321442
"Olsenella",0.331162181471779,0.944615559321442
"Eggerthella",0.940843057870922,1
"Adlercreutzia",0.502726839723744,0.944615559321442
"Gordonibacter",0.551631340795428,0.944615559321442
"Nostoc",1,1
"Calothrix",0.331162181471779,0.944615559321442
"Synechococcus",0.502726839723744,0.944615559321442
"Spiroplasma",0.456096689688021,0.944615559321442
"Mycoplasma",0.655632293403191,0.944615559321442
"Mycoplasmopsis",0.456096689688021,0.944615559321442
"Deinococcus",0.502726839723744,0.944615559321442
"Escherichia",0.456096689688021,0.944615559321442
"Salmonella",1,1
"Citrobacter",1,1
"Klebsiella",0.940843057870922,1
"Shigella",0.620108768319,0.944615559321442
"Enterobacter",1,1
"Kosakonia",0.710300071445582,0.944615559321442
"Leclercia",0.881983805668016,0.977422351803734
"Buchnera",0.602679209335556,0.944615559321442
"Erwinia",0.602679209335556,0.944615559321442
"Pantoea",0.655632293403191,0.944615559321442
"Proteus",0.175410812098119,0.944615559321442
"Providencia",1,1
"Serratia",0.881983805668016,0.977422351803734
"Yersinia",0.502726839723744,0.944615559321442
"Pectobacterium",0.551631340795428,0.944615559321442
"Vibrio",0.602679209335556,0.944615559321442
"Haemophilus",0.602679209335556,0.944615559321442
"Acinetobacter",0.766432483924744,0.944615559321442
"Psychrobacter",0.151940938318647,0.944615559321442
"Pseudoalteromonas",1,1
"Shewanella",0.940843057870922,1
"Pseudomonas",0.655632293403191,0.944615559321442
"Legionella",1,1
"Francisella",0.823755656108597,0.944615559321442
"Campylobacter",0.766432483924744,0.944615559321442
"Helicobacter",0.551631340795428,0.944615559321442
"Malaciobacter",1,1
"Arcobacter",0.940843057870922,1
"Aliarcobacter",0.766432483924744,0.944615559321442
"Sulfurimonas",0.294724934508216,0.944615559321442
"Bradyrhizobium",0.411895689449869,0.944615559321442
"Mesorhizobium",0.456096689688021,0.944615559321442
"Bartonella",0.766432483924744,0.944615559321442
"Sphingomonas",0.201369373660395,0.944615559321442
"Brevundimonas",0.370219099785663,0.944615559321442
"Ralstonia",0.095177423195999,0.944615559321442
"Cupriavidus",0.766432483924744,0.944615559321442
"Burkholderia",0.331162181471779,0.944615559321442
"Acidovorax",0.456096689688021,0.944615559321442
"Comamonas",0.331162181471779,0.944615559321442
"Massilia",0.260978804477257,0.944615559321442
"Bacteroides",0.331162181471779,0.944615559321442
"Phocaeicola",0.111943319838057,0.944615559321442
"Parabacteroides",0.0250535841867111,0.944615559321442
"Alistipes",0.260978804477257,0.944615559321442
"Odoribacter",0.331162181471779,0.944615559321442
"Butyricimonas",0.823755656108597,0.944615559321442
"Prevotella",0.229864253393665,0.944615559321442
"Kaistella",0.881983805668016,0.977422351803734
"Chryseobacterium",0.411895689449869,0.944615559321442
"Elizabethkingia",0.331162181471779,0.944615559321442
